"sourceid","dstid","year","avg_travel_time"
960,2118,2019,26.7564305555556
960,2118,2020,25.6148333333333
960,2119,2015,23.7814285714286
960,2119,2016,25.37875
960,2119,2017,26.4507638888889
960,2119,2018,24.8754814814815
960,2119,2019,22.4954305555556
960,2119,2020,20.9423888888889
960,2120,2015,15.6439861111111
960,2120,2016,14.9144861111111
960,2120,2017,15.4060138888889
960,2120,2018,15.460962962963
960,2120,2019,15.5972777777778
960,2120,2020,15.5678333333333
960,2121,2016,26.7490666666667
960,2121,2017,26.4504444444444
960,2121,2018,26.2711851851852
960,2121,2019,24.6501388888889
960,2121,2020,22.8238333333333
960,2122,2015,26.5006666666667
960,2122,2016,27.8539333333333
960,2122,2017,28.7662777777778
960,2122,2018,26.5846851851852
960,2122,2019,25.27075
960,2122,2020,23.6624444444444
960,2123,2015,24.8886666666667
960,2123,2016,26.3532777777778
960,2123,2017,27.2004722222222
960,2123,2018,24.7495925925926
960,2123,2019,23.1744861111111
960,2123,2020,21.9036666666667
960,2124,2015,23.5413333333333
960,2124,2016,25.2589444444444
960,2124,2017,25.4421111111111
960,2124,2018,25.1549259259259
960,2124,2019,23.3834166666667
960,2124,2020,21.6336666666667
960,2125,2016,25.2127777777778
960,2125,2017,26.8628333333333
960,2125,2018,24.0592037037037
960,2125,2019,22.2682638888889
960,2125,2020,20.8941666666667
960,2126,2016,30.8034444444444
960,2126,2017,31.5587083333333
960,2126,2018,29.806
960,2126,2019,29.0864722222222
960,2126,2020,28.1197222222222
960,2127,2016,30.8571041666667
960,2127,2017,31.4733472222222
960,2127,2018,29.5421666666667
960,2127,2019,27.891375
960,2127,2020,27.1598333333333
960,2128,2016,30.5499
960,2128,2017,30.7089583333333
960,2128,2018,30.1456851851852
960,2128,2019,30.31755
960,2129,2016,31.3065
960,2129,2017,31.0816166666667
960,2129,2018,30.9279333333333
960,2129,2019,29.4825833333333
960,2130,2016,29.1300185185185
960,2130,2017,30.2829166666667
960,2130,2018,28.1821481481481
960,2130,2019,26.4467916666667
960,2130,2020,25.7351666666667
960,2131,2016,27.7336428571429
960,2131,2017,28.4368787878788
960,2131,2018,27.0605238095238
960,2131,2019,27.7318333333333
960,2132,2016,26.7281481481481
960,2132,2017,27.8544722222222
960,2132,2018,25.0486111111111
960,2132,2019,23.817875
960,2132,2020,22.8921111111111
960,2133,2016,29.722875
960,2133,2017,29.2996363636364
960,2133,2018,28.9121428571429
960,2133,2019,27.4972
960,2133,2020,26.4803333333333
960,2134,2016,26.637537037037
960,2134,2017,26.164
960,2134,2018,25.5529259259259
960,2134,2019,24.7307727272727
960,2134,2020,23.9624444444444
960,2135,2015,22.4861666666667
960,2135,2016,25.2797962962963
960,2135,2017,25.0035694444444
960,2135,2018,24.3777407407407
960,2135,2019,23.5218472222222
960,2135,2020,22.8417777777778
960,2136,2015,21.1346666666667
960,2136,2016,23.1626
960,2136,2017,23.5867916666667
960,2136,2018,23.1857777777778
960,2136,2019,23.0766805555556
960,2136,2020,22.6477777777778
960,2137,2015,15.2895833333333
960,2137,2016,15.2855
960,2137,2017,15.68775
960,2137,2018,15.6783333333333
960,2137,2019,15.9847638888889
960,2137,2020,15.1234444444444
960,2138,2017,23.9661666666667
960,2138,2018,22.9656388888889
960,2138,2019,23.2459523809524
960,2138,2020,22.4398333333333
960,2139,2017,26.6674
960,2139,2018,26.0474166666667
960,2139,2019,25.4369166666667
960,2140,2015,18.7836904761905
960,2140,2016,18.5221388888889
960,2140,2017,18.6856527777778
960,2140,2018,18.477
960,2140,2019,18.3927083333333
960,2140,2020,18.2085555555556
960,2141,2015,17.8804761904762
960,2141,2016,17.8810555555556
960,2141,2017,18.0966388888889
960,2141,2018,17.7922407407407
960,2141,2019,17.635875
960,2141,2020,17.5145555555556
960,2142,2015,17.1205277777778
960,2142,2016,17.0440416666667
960,2142,2017,17.4913611111111
960,2142,2018,17.3731851851852
960,2142,2019,17.66475
960,2142,2020,16.7521111111111
960,2143,2015,23.6211666666667
960,2143,2016,24.8739722222222
960,2143,2017,26.6770972222222
960,2143,2018,24.3932407407407
960,2143,2019,22.7674444444444
960,2143,2020,22.1583333333333
960,2144,2015,15.7598888888889
960,2144,2016,15.8915416666667
960,2144,2017,16.1696666666667
960,2144,2018,15.9951666666667
960,2144,2019,16.4674583333333
960,2144,2020,15.6613888888889
960,2145,2015,22.7523333333333
960,2145,2016,22.9984848484848
960,2145,2017,22.3713194444444
960,2145,2018,22.4262777777778
960,2145,2019,22.8070555555556
960,2145,2020,22.4047222222222
960,2146,2016,25.16025
960,2146,2017,23.4159
960,2146,2018,24.1497708333333
960,2146,2019,23.66045
960,2146,2020,22.8046666666667
960,2147,2015,19.3913333333333
960,2147,2016,20.8611333333333
960,2147,2017,20.4089444444444
960,2147,2018,19.9377592592593
960,2147,2019,19.5727916666667
960,2147,2020,20.1795
960,2148,2017,23.3340833333333
960,2148,2018,19.0065
960,2148,2019,19.6003333333333
960,2149,2017,18.7161666666667
960,2149,2019,20.4267777777778
960,2149,2020,18.1425
960,2150,2015,20.6036481481481
960,2150,2016,20.1983055555556
960,2150,2017,20.2727222222222
960,2150,2018,20.246537037037
960,2150,2019,20.8428194444444
960,2150,2020,20.8034444444444
960,2151,2015,19.567037037037
960,2151,2016,19.0036666666667
960,2151,2017,19.1469027777778
960,2151,2018,19.1199259259259
960,2151,2019,19.75725
960,2151,2020,19.9115555555556
960,2152,2016,24.0626666666667
960,2152,2017,23.8696333333333
960,2152,2018,24.2827777777778
960,2152,2019,23.8274090909091
960,2152,2020,24.3918333333333
960,2153,2015,18.7315833333333
960,2153,2016,18.8379583333333
960,2153,2017,18.9442777777778
960,2153,2018,18.8651851851852
960,2153,2019,19.0879722222222
960,2153,2020,18.2263888888889
960,2154,2016,21.6970833333333
960,2154,2017,22.4741527777778
960,2154,2018,22.0653333333333
960,2154,2019,22.1691388888889
960,2154,2020,21.3462222222222
960,2155,2015,14.0855
960,2155,2016,14.2801666666667
960,2155,2017,14.7085416666667
960,2155,2018,14.8231111111111
960,2155,2019,14.9469305555556
960,2155,2020,15.3497777777778
960,2156,2016,29.4673333333333
960,2156,2017,30.5986060606061
960,2156,2018,28.6606458333333
960,2156,2019,27.4291805555556
960,2156,2020,25.9839444444444
960,2157,2016,21.1324444444444
960,2157,2017,21.4613055555556
960,2157,2018,22.2695185185185
960,2157,2019,22.4833611111111
960,2157,2020,23.2657222222222
960,2158,2015,17.3371666666667
960,2158,2016,18.5578636363636
960,2158,2017,18.6502222222222
960,2158,2018,18.4721666666667
960,2158,2019,18.4997083333333
960,2158,2020,17.4554444444444
960,2159,2017,24.0888333333333
960,2159,2018,23.364
960,2159,2019,22.8537083333333
960,2159,2020,27.4595833333333
960,2160,2015,28.9580555555556
960,2160,2016,29.3708472222222
960,2160,2017,31.8602638888889
960,2160,2018,29.2377407407407
960,2160,2019,27.1270277777778
960,2160,2020,26.2023333333333
960,2161,2016,28.9998
960,2161,2017,30.5217083333333
960,2161,2018,28.7048333333333
960,2161,2019,26.9394583333333
960,2161,2020,25.5418888888889
960,2162,2015,26.4535
960,2162,2016,26.9960925925926
960,2162,2017,29.0220416666667
960,2162,2018,26.8575185185185
960,2162,2019,25.0253611111111
960,2162,2020,24.1170555555556
960,2163,2015,18.5653333333333
960,2163,2016,17.4115972222222
960,2163,2017,18.136875
960,2163,2018,18.3805
960,2163,2019,18.4824722222222
960,2163,2020,18.554
960,2164,2015,25.375
960,2164,2016,26.506037037037
960,2164,2017,28.4898333333333
960,2164,2018,25.8819444444444
960,2164,2019,24.5364027777778
960,2164,2020,23.9918333333333
960,2165,2015,16.1902291666667
960,2165,2016,16.6729027777778
960,2165,2017,16.8209305555556
960,2165,2018,16.6181666666667
960,2165,2019,16.648
960,2165,2020,16.5749444444444
960,2166,2016,23.821
960,2166,2017,24.2474027777778
960,2166,2018,23.7955
960,2166,2019,24.1151527777778
960,2166,2020,25.7125
960,2167,2015,17.5291666666667
960,2167,2016,18.0951166666667
960,2167,2017,18.6097638888889
960,2167,2018,18.5406111111111
960,2167,2019,18.6955416666667
960,2167,2020,19.2887222222222
960,2168,2015,15.1904333333333
960,2168,2016,14.80025
960,2168,2017,15.1775833333333
960,2168,2018,14.8696111111111
960,2168,2019,14.4902777777778
960,2168,2020,14.1201666666667
960,2169,2015,9.03093055555556
960,2169,2016,9.21972222222222
960,2169,2017,9.75773611111111
960,2169,2018,9.74374074074074
960,2169,2019,10.0139583333333
960,2169,2020,9.92694444444444
960,2170,2015,23.9476666666667
960,2170,2016,24.6663194444444
960,2170,2017,26.2822916666667
960,2170,2018,23.924537037037
960,2170,2019,22.3940694444444
960,2170,2020,21.5131111111111
960,2171,2016,23.6625
960,2171,2017,24.2450138888889
960,2171,2018,23.5558148148148
960,2171,2019,24.0052083333333
960,2171,2020,25.4351666666667
960,2172,2015,19.9731363636364
960,2172,2016,19.2874722222222
960,2172,2017,19.9227222222222
960,2172,2018,20.1396851851852
960,2172,2019,20.7142361111111
960,2172,2020,20.9722222222222
960,2173,2015,20.6088333333333
960,2173,2016,19.7701833333333
960,2173,2017,20.606625
960,2173,2018,21.0123518518519
960,2173,2019,21.5491388888889
960,2173,2020,21.8201666666667
960,2174,2015,16.6695833333333
960,2174,2016,15.9900694444444
960,2174,2017,16.4344722222222
960,2174,2018,16.5484259259259
960,2174,2019,16.8495555555556
960,2174,2020,16.7366111111111
960,2175,2015,13.9709444444444
960,2175,2016,13.0919444444444
960,2175,2017,13.4942638888889
960,2175,2018,13.2365925925926
960,2175,2019,13.1543888888889
960,2175,2020,12.8211666666667
960,2176,2015,21.8778939393939
960,2176,2016,21.0278194444444
960,2176,2017,21.6614444444444
960,2176,2018,21.9248703703704
960,2176,2019,22.4187638888889
960,2176,2020,22.7914444444444
960,2177,2016,21.4833333333333
960,2177,2017,19.3596833333333
960,2177,2018,19.3098703703704
960,2177,2019,19.7091818181818
960,2177,2020,20.90625
960,2178,2017,19.0007333333333
960,2178,2018,20.6450666666667
960,2178,2019,19.5257777777778
960,2178,2020,21.9518333333333
960,2179,2016,23.8686296296296
960,2179,2017,25.1195694444444
960,2179,2018,24.9448703703704
960,2179,2019,24.8175833333333
960,2179,2020,24.473
960,2180,2015,18.7145
960,2180,2016,18.2340606060606
960,2180,2017,18.10925
960,2180,2018,18.1672037037037
960,2180,2019,17.8845138888889
960,2180,2020,17.9759444444444
960,2181,2015,19.0104166666667
960,2181,2016,18.5013939393939
960,2181,2017,19.1735277777778
960,2181,2018,19.4121111111111
960,2181,2019,19.857125
960,2181,2020,20.5459444444444
960,2182,2015,18.1428787878788
960,2182,2016,17.8253055555556
960,2182,2017,18.4444861111111
960,2182,2018,18.6813518518519
960,2182,2019,19.0074166666667
960,2182,2020,19.6551111111111
960,2183,2015,6.97394444444444
960,2183,2016,6.91545833333333
960,2183,2017,7.27913888888889
960,2183,2018,7.20551851851852
960,2183,2019,7.62172222222222
960,2183,2020,7.38422222222222
960,2184,2015,15.7805925925926
960,2184,2016,15.6228055555556
960,2184,2017,16.1650555555556
960,2184,2018,15.9848703703704
960,2184,2019,15.3594444444444
960,2184,2020,14.9513333333333
960,2185,2015,15.1563166666667
960,2185,2016,15.1853333333333
960,2185,2017,15.6617222222222
960,2185,2018,15.7695555555556
960,2185,2019,15.69425
960,2185,2020,15.3131111111111
960,2186,2015,11.7937361111111
960,2186,2016,11.0429166666667
960,2186,2017,11.4055
960,2186,2018,11.0857037037037
960,2186,2019,10.9529583333333
960,2186,2020,10.5645555555556
960,2187,2015,14.1997424242424
960,2187,2016,13.2906666666667
960,2187,2017,13.4911527777778
960,2187,2018,13.1984444444444
960,2187,2019,12.9963611111111
960,2187,2020,12.6337222222222
960,2188,2015,12.243125
960,2188,2016,11.5523888888889
960,2188,2017,11.9550972222222
960,2188,2018,11.7056111111111
960,2188,2019,11.6669027777778
960,2188,2020,11.2021666666667
960,2189,2015,13.6493166666667
960,2189,2016,13.7575
960,2189,2017,14.0924305555556
960,2189,2018,13.971962962963
960,2189,2019,14.3996805555556
960,2189,2020,14.1347222222222
960,2190,2015,14.5386666666667
960,2190,2016,15.045875
960,2190,2017,15.1607916666667
960,2190,2018,15.0226111111111
960,2190,2019,15.433625
960,2190,2020,15.4197222222222
960,2191,2015,24.55825
960,2191,2016,23.9109848484848
960,2191,2017,24.6453333333333
960,2191,2018,25.1999259259259
960,2191,2019,24.9691666666667
960,2191,2020,26.2713333333333
960,2192,2016,21.5276666666667
960,2192,2017,20.1313333333333
960,2192,2018,21.47925
960,2192,2019,19.8514285714286
960,2192,2020,20.22225
960,2193,2017,22.3221666666667
960,2193,2019,23.9945
960,2193,2020,24.8468333333333
960,2194,2015,13.9461666666667
960,2194,2016,16.1782037037037
960,2194,2017,16.7654305555556
960,2194,2018,16.228962962963
960,2194,2019,16.2401388888889
960,2194,2020,16.0982222222222
960,2195,2016,20.713375
960,2195,2017,19.3462916666667
960,2195,2018,19.7903148148148
960,2195,2019,19.749125
960,2195,2020,19.5968333333333
